"ich umfahre das Dorf"			"I drive around the village"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a drive8around_V2) (DetCN (DetQuant DefArt NumSg) (UseN village_N)))))) NoVoc"
"ich fahre den Zaun um"			"I knock over the fence"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a knock8over_V2) (DetCN (DetQuant DefArt NumSg) (UseN fence_N)))))) NoVoc"
"er f\228hrt am Morgen"			"he drives in the morning"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (ComplSlash (SlashV2a drive8in_V2) (DetCN (DetQuant DefArt NumSg) (UseN morning_N)))))) NoVoc"
"er ist am Morgen gefahren"		"he has driven in the morning"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres AAnter) PPos (PredVP (UsePron he_Pron) (ComplSlash (SlashV2a drive8in_V2) (DetCN (DetQuant DefArt NumSg) (UseN morning_N)))))) NoVoc"
"der Mann hat lange geschlafen"		"the man has slept late"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres AAnter) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN man_N)) (AdvVP (UseV sleep_V) long_Adv)))) NoVoc"
"der Mann ist sp\228t aufgestanden"	"the man has gotten up late"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres AAnter) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN man_N)) (AdvVP (UseV get8up_V) late_Adv)))) NoVoc"
"die Frau ist p\252nktlich gewesen"	"the woman has been on time"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres AAnter) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN woman_N)) (AdvVP UseCopula on8time_Adv)))) NoVoc"
"der Mann ist ein Student"		"the man is a student"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN man_N)) (UseComp (CompNP (DetCN (DetQuant IndefArt NumSg) (UseN student_N))))))) NoVoc"
"die Frau ist deutsch"			"the woman is German"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN woman_N)) (UseComp (CompAP (PositA german_A)))))) NoVoc"
"ich schalte das Licht ein"		"I switch on the light"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a switch8on_V2) (DetCN (DetQuant DefArt NumSg) (UseN light_N)))))) NoVoc"
"das Licht wird eingeschaltet"		"the light is switched on"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN light_N)) (PassV2 switch8on_V2)))) NoVoc"
"der Mann steht auf"			"the man gets up"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN man_N)) (UseV get8up_V)))) NoVoc"
"die Frau schl\228ft lange"		"the woman sleeps late"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN woman_N)) (AdvVP (UseV sleep_V) long_Adv)))) NoVoc"
"er f\228hrt"	     			"he drives"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (UseV drive_V)))) NoVoc"
"ich muss das Dorf umfahren"		"I must drive around the village"	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a drive8around_V2) (DetCN (DetQuant DefArt NumSg) (UseN village_N))))))) NoVoc"
"ich muss den Zaun umfahren"		"I must knock over the fence"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplVV must_VV (ComplSlash (SlashV2a knock8over_V2) (DetCN (DetQuant DefArt NumSg) (UseN fence_N))))))) NoVoc"
