"él observa su hija"			"he observes his daughter"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (ComplSlash (SlashV2a observe_V2) (DetCN (DetQuant (PossPron he_Pron) NumSg) (UseN daughter_N)))))) NoVoc"
"yo deseo un hijo"			"I wish for a son"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a wish_for_V2) (DetCN (DetQuant IndefArt NumSg) (UseN son_N)))))) NoVoc"
"ella mejora el menú"			"she improves the menu"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron she_Pron) (ComplSlash (SlashV2a improve_V2) (DetCN (DetQuant DefArt NumSg) (UseN menu_N)))))) NoVoc"
"ella no me afecta"			"she doesn't affect me"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron she_Pron) (ComplSlash (SlashV2a affect_V2) (UsePron i_Pron))))) NoVoc"
"el estudiante desea un ordenador"	"the student wishes for a computer"	"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (DetCN (DetQuant DefArt NumSg) (UseN student_N)) (ComplSlash (SlashV2a wish_for_V2) (DetCN (DetQuant IndefArt NumSg) (UseN computer_N)))))) NoVoc"
"él consulta con Luis"			"he consults with Luis"	  		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron he_Pron) (ComplSlash (SlashV2a consult_with_V2) (UsePN Luis_PN))))) NoVoc"
"yo lo observo"	 			"I observe him"				"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a observe_V2) (UsePron he_Pron))))) NoVoc"
"ella alcanza los zapatos"		"she attains the shoes"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron she_Pron) (ComplSlash (SlashV2a attain_V2) (DetCN (DetQuant DefArt NumPl) (UseN shoe_N)))))) NoVoc"
"yo consulto con mi jefe"		"I consult with my boss"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PPos (PredVP (UsePron i_Pron) (ComplSlash (SlashV2a consult_with_V2) (DetCN (DetQuant (PossPron i_Pron) NumSg) (UseN boss_N)))))) NoVoc"
"ellos no pueden ser padres"		"they cannot be fathers"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron they_Pron) (ComplVV can_VV (UseComp (CompNP (DetCN (DetQuant IndefArt NumPl) (UseN father_N)))))))) NoVoc"
"los niños no pueden tomar vino"	"the boys cannot drink wine"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (DetCN (DetQuant DefArt NumPl) (UseN boy_N)) (ComplVV can_VV (ComplSlash (SlashV2a drink_V2) (MassNP (UseN wine_N))))))) NoVoc"
"yo no puedo comer pescado"		"I cannot eat fish"			"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (UsePron i_Pron) (ComplVV can_VV (ComplSlash (SlashV2a eat_V2) (MassNP (UseN fish_N))))))) NoVoc"
"mis amigos no pueden tomar cerveza"	"my friends cannot drink beer"		"PhrUtt NoPConj (UttS (UseCl (TTAnt TPres ASimul) PNeg (PredVP (DetCN (DetQuant (PossPron i_Pron) NumPl) (UseN friend_N)) (ComplVV can_VV (ComplSlash (SlashV2a drink_V2) (MassNP (UseN beer_N))))))) NoVoc"
